Awaji  (2326,2077)  (2388,2078)  (2379,2016)  (2486,1952)  (2441,2007)  (2448,2069)  | overflowToLeft=false
Otomo  (1270,1650)  (1327,1651)  (1384,1621)  (1288,1585)  (1226,1584)  (1208,1653)  (1156,1714)  (1221,1719)  (1283,1719)  (1347,1717)  (1282,1516)  (1326,1452)  (1378,1392)  (1268,1788)  (1333,1807)  (1393,1774)  | overflowToLeft=false
Tango  (2827,1213)  (2762,1213)  (2887,1215)  (2823,1153)  (2832,1271)  (2766,1274)  (2895,1279)  (2886,1152)  (2764,1152)  (2694,1153)  (2697,1214)  (2647,1090)  (2711,1093)  (2653,1017)  (2777,1086)  (2841,1085)  (2903,1087)  (2957,1221)  (2957,1286)  (2752,1348)  (2816,1350)  (2883,1360)  (2938,1376)  (2996,1360)  | overflowToLeft=false
Uesugi  (4609,1071)  (4669,1070)  (4546,1071)  (4611,1132)  (4609,1010)  (4549,1134)  (4545,1012)  (4672,1008)  (4671,1134)  (4610,1194)  (4540,1197)  (4730,1060)  (4736,997)  (4484,1137)  (4483,1076)  (4471,1198)  (4432,1259)  (4796,1041)  (4802,971)  (4407,1199)  (4411,1134)  (4343,1149)  (4868,1024)  (4870,960)  (4886,893)  (4948,838)  (4217,1303)  (4279,1290)  (4285,1222)  (4344,1266)  (4930,995)  (5002,963)  (4941,927)  (5016,894)  | overflowToLeft=false
Kii  (2636,2621)  (2698,2622)  (2572,2620)  (2630,2561)  (2660,2683)  (2592,2679)  (2695,2558)  (2560,2550)  (2732,2686)  (2763,2622)  (2764,2552)  (2826,2504)  (2834,2563)  (2832,2633)  (2900,2526)  (2862,2437)  (2925,2451)  (2906,2369)  (2619,2754)  (2550,2750)  (2489,2703)  (2430,2663)  (2502,2631)  (2451,2564)  (2433,2369)  (2365,2383)  (2469,2440)  (2404,2446)  (2461,2502)  | overflowToLeft=false
Omi  (3579,1692)  (3647,1692)  (3515,1690)  (3583,1756)  (3580,1630)  (3646,1627)  (3643,1565)  (3708,1565)  (3712,1634)  (3717,1695)  (3516,1629)  (3573,1564)  (3483,1568)  (3520,1760)  (3446,1744)  (3437,1681)  (3405,1619)  (3336,1592)  (3281,1535)  (3213,1526)  (3326,1471)  (3388,1524)  (3539,1826)  (3611,1825)  (3651,1756)  (3717,1763)  (3683,1829)  (3756,1824)  | overflowToLeft=false
Shima  (3208,2608)  (3267,2609)  (3145,2606)  (3208,2664)  (3204,2548)  (3145,2544)  (3145,2666)  (3079,2655)  (3266,2540)  (3329,2634)  (3272,2670)  (3248,2737)  (3342,2710)  | overflowToLeft=false
Higo  (925,1745)  (995,1745)  (1060,1747)  (1143,1814)  (1077,1813)  (1008,1812)  (941,1812)  (872,1812)  (856,1746)  (803,1810)  (794,1745)  (828,1676)  (838,1877)  (893,1684)  (905,1885)  (957,1676)  (971,1887)  (908,1608)  (1037,1886)  (843,1607)  (963,1951)  (863,1544)  (893,1955)  (820,1481)  (825,1954)  (772,1876)  | overflowToLeft=true
Miyoshi  (2865,2051)  (2925,2052)  (2864,2113)  (2870,1990)  (2927,1986)  (2885,1921)  (2923,2115)  (2947,1922)  (2862,2179)  (2941,1853)  (2927,2177)  (3000,1870)  (2998,1801)  (2989,1741)  (2797,2154)  (2801,2030)  | overflowToLeft=false
Hitachi  (4928,1710)  (4992,1711)  (4866,1710)  (4928,1649)  (4930,1769)  (4997,1773)  (4865,1782)  (4898,1843)  (4967,1842)  (4955,1900)  (4991,1645)  (4906,1585)  (4977,1578)  (4987,1521)  (5034,1457)  (5048,1391)  (4953,1975)  | overflowToLeft=false
Date  (5438,638)  (5498,637)  (5374,636)  (5555,638)  (5326,574)  (5387,573)  (5333,701)  (5396,705)  (5460,708)  (5525,707)  (5450,575)  (5516,575)  (5325,505)  (5396,507)  (5467,505)  (5530,505)  (5311,441)  (5342,772)  (5409,772)  (5475,774)  (5539,775)  (5343,837)  (5345,901)  (5409,836)  (5412,899)  (5472,836)  (5476,896)  (5535,842)  (5540,903)  (5600,840)  (5379,446)  (5307,378)  (5367,295)  (5372,366)  (5451,436)  (5541,282)  (5636,339)  | overflowToLeft=false
Settsu  (2671,1756)  (2673,1815)  (2672,1692)  (2732,1759)  (2610,1759)  (2733,1696)  (2609,1820)  (2606,1696)  (2738,1821)  (2797,1759)  (2674,1877)  (2671,1622)  (2540,1760)  (2740,1888)  (2803,1823)  (2866,1755)  (2805,1885)  (2609,1890)  (2607,1629)  (2590,1565)  (2668,1556)  (2601,1501)  (2673,1490)  (2608,1425)  (2685,1412)  (2628,1365)  | overflowToLeft=true
Shimazu  (649,2128)  (587,2128)  (711,2129)  (646,2065)  (584,2064)  (716,2192)  (706,2068)  (535,2190)  (716,2256)  (645,2004)  (775,2164)  (522,2124)  (776,2225)  (522,2062)  (580,2001)  (800,2283)  (730,2315)  (668,2370)  (733,2379)  (676,2431)  (561,1938)  (438,2268)  (511,2267)  (524,2339)  (610,2437)  | overflowToLeft=true
Mutsu  (5314,1157)  (5377,1156)  (5439,1157)  (5247,1159)  (5273,1087)  (5287,1223)  (5506,1158)  (5334,1090)  (5398,1090)  (5466,1091)  (5538,1091)  (5352,1228)  (5420,1225)  (5184,1160)  (5223,1223)  (5156,1225)  (5091,1239)  (5025,1226)  (4962,1199)  (4895,1190)  (4826,1189)  (4764,1187)  (4704,1237)  (4701,1298)  (4769,1269)  (4828,1252)  (4977,1280)  (5037,1297)  (5100,1314)  (5163,1292)  (5159,1366)  (5221,1391)  (5226,1326)  (5292,1287)  (5297,1021)  (5358,1016)  (5432,1004)  (5495,1029)  (5562,988)  | overflowToLeft=false
Hida  (3936,1403)  (3940,1465)  (4001,1405)  (3875,1404)  (3941,1337)  (3881,1342)  (3875,1471)  (4003,1467)  (4005,1342)  (3907,1276)  (3982,1276)  (4049,1276)  (4070,1345)  (4068,1408)  (3963,1535)  (3896,1536)  (3802,1400)  (3742,1425)  (3801,1471)  (3821,1554)  (3837,1626)  (3865,1194)  (3929,1208)  (3993,1212)  (4062,1211)  (4125,1278)  (4140,1203)  | overflowToLeft=false
Chosokabe  (1687,2097)  (1756,2100)  (1817,2147)  (1875,2202)  (1619,2085)  (1559,2085)  (1495,2082)  (1433,2098)  (1584,2160)  (1519,2160)  (1456,2164)  (1459,2229)  (1911,2262)  (1910,2327)  | overflowToLeft=false
Sanuki  (2046,1961)  (2102,1955)  (2164,1963)  (2183,2023)  (2113,2026)  (2045,2022)  (1983,2009)  (1922,1972)  (1858,1953)  (1842,1891)  (1981,1943)  (2036,1892)  | overflowToLeft=false
